མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲིབ་ཐབས།།,464,2,1,《པེ་》, ༄༅། །འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་སྒྲུབ་ཐབས་བཞུགས། ;《སྣར་》,འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་གི་སྒྲུབ་ཐབས་སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ། །,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,3,2,《སྣར་》,ཨཱརྱ།,,,,,,
,,4,3,《པེ་》《སྣར་》,ཀི།,,,,,,
,,5,4,《པེ་》,ས།,,,,,,
,465,6,1,《སྣར་》,བིགྷྣཱཾ།,,,,,,
,,7,2,《སྣར་》,བསམ།,,,,,,
,,8,3,《པེ་》,བའི།,,,,,,
,,9,4,《སྣར་》,mརྒྱ།,,,,,,
,,10,5,《སྣར་》,mནི།,,,,,,
,,11,6,《པེ་》《སྣར་》,mདེ་དག་ཐམས་ཅད།,,,,,,
,466,12,1,《པེ་》《སྣར་》,pདང་།,,,,,,
,,13,2,《པེ་》,བཱག་ཙིདྟཱ་པྲ་ཎཱ་མེ།;《སྣར་》,བཱཀྩིཏྟཔ་ཎཱ་མ།,,,,,
,,14,3,《སྣར་》,ནཱཾ་ཀཱ།,,,,,,
,,15,4,《པེ་》,pཿ།,,,,,,
,,16,5,《པེ་》,པུ།,,,,,,
,,17,6,《སྣར་》,ནཾ།,,,,,,
,,18,7,《པེ་》《སྣར་》,pཿ།,,,,,,
,,19,8,《པེ་》,དྷུ།,,,,,,
,,20,9,《པེ་》,ནེ་བི་ཏེ།;《སྣར་》,ནེ་བི་ཏྱ།,,,,,
,,21,10,《པེ་》《སྣར་》,བསྟིབས།,,,,,,
,,22,11,《པེ་》,པུ།,,,,,,
,,23,12,《པེ་》,དྲེ།,,,,,,
,,24,13,《པེ་》《སྣར་》,mའོད་ཟེར།,,,,,,
