མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,104,2,1,《པེ་》《སྣར་》,༄༅།།དབུ་མའི་འགྲེལ་པ་རྟོག་གེ་འབར་བ་སློབ་དཔོན་བྷ་བྱས་མཛད་པ་བཞུགས་སོ།།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,མ་དྷྱ་མ་ཀ,,,,,,
,,4,3,《པེ་》,བྲིཏྟི་ཏར།,《སྣར་》,བྲཏྟི་ཏིར།,,,,,
,105,5,1,《པེ་》《སྣར་》,བདག,,,,,,
,,6,2,《པེ་》《སྣར་》,mཡང་རུང་ལྷན་ཅིག་འབྱུང་བ།,,,,,,
,,7,3,《པེ་》《སྣར་》,pགི།,,,,,,
,,8,4,《སྣར་》,pམ།,,,,,,
,106,9,1,《པེ་》《སྣར་》,རྟོག,,,,,,
,,10,2,《པེ་》《སྣར་》,pདངོས་པོ་དང་།,,,,,,
,,11,3,《པེ་》《སྣར་》,pསྣང་བའི་ཚུལ་དུ།,,,,,,
,107,12,1,《པེ་》《སྣར་》,དེའོ།,,,,,,
,,13,2,《པེ་》《སྣར་》,རྩད།,,,,,,
,,14,3,《པེ་》《སྣར་》,བྱ་བའོ།,,,,,,
,,15,4,《པེ་》《སྣར་》,གི།,,,,,,
,,16,5,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,17,6,《པེ་》《སྣར་》,པ།,,,,,,
,,18,7,《པེ་》《སྣར་》,གི།,,,,,,
,,19,8,《པེ་》《སྣར་》,བློ།,,,,,,
,108,20,1,《པེ་》《སྣར་》,པ།,,,,,,
,,21,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,22,3,《པེ་》《སྣར་》,mསུ།,,,,,,
,,23,4,《པེ་》,གཞན།,《སྣར་》,ཞེན།,,,,,
,,24,5,《པེ་》《སྣར་》,འཚོལ།,,,,,,
,,25,6,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,26,7,《པེ་》《སྣར་》,པ།,,,,,,
,109,27,1,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,28,2,《པེ་》《སྣར་》,རྟོགས།,,,,,,
,,29,3,《པེ་》《སྣར་》,དཔའ་འོ།,,,,,,
,,30,4,《པེ་》《སྣར་》,བཏང་།,,,,,,
,110,31,1,《ཅོ་》,ཡིས།,,,,,,
,,32,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,33,3,《པེ་》《སྣར་》,བཤེས་གཉེན།,,,,,,
,,34,4,《པེ་》《སྣར་》,བརྒལ།,,,,,,
,,35,5,《པེ་》《སྣར་》,mཐམས་ཅད།,,,,,,
,111,36,1,《པེ་》《སྣར་》,mཔ།,,,,,,
,,37,2,《པེ་》《སྣར་》,འཚོལ།,,,,,,
,,38,3,《སྣར་》,པ།,,,,,,
,,39,4,《པེ་》《སྣར་》,འཇིག,,,,,,
,,40,5,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,41,6,《པེ་》《སྣར་》,སྒྲོགས།,,,,,,
,,42,7,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,43,8,《པེ་》《སྣར་》,མ།,,,,,,
,,44,9,《པེ་》《སྣར་》,སྨྱོ།,,,,,,
,,45,10,《པེ་》《སྣར་》,གྱི།,,,,,,
,112,46,1,《པེ་》《སྣར་》,བརྐུས།,,,,,,
,,47,2,《པེ་》,བསྒྲུབ།,,,,,,
,,48,3,《པེ་》《སྣར་》,དམད།,,,,,,
,,49,4,《པེ་》《སྣར་》,འགྲོན་ལ་བཅུགས།,,,,,,
,,50,5,《པེ་》《སྣར་》,སྟབས།,,,,,,
,,51,6,《པེ་》《སྣར་》,ན།,,,,,,
,,52,7,《པེ་》《སྣར་》,དམད།,,,,,,
,,53,8,《པེ་》《སྣར་》,རྟོག,,,,,,
,,54,9,《པེ་》《སྣར་》,རྟོག,,,,,,
,,55,10,《པེ་》《སྣར་》,དམད།,,,,,,
,,56,11,《པེ་》《སྣར་》,pལྷའི་ཕོ་བྲང་ན་ལྷ་མོ་ལྷའི་རིན་པོ་ཆེ་དྲི་མ་མེད་པའི།,,,,,,
,113,57,1,《པེ་》《སྣར་》,པའི།,,,,,,
,,58,2,《པེ་》《སྣར་》,སྒྱུར།,,,,,,
,,59,3,《པེ་》《སྣར་》,བརྟགས་པས།,,,,,,
,,60,4,《པེ་》《སྣར་》,བའི།,,,,,,
,,61,5,《པེ་》《སྣར་》,pལ།,,,,,,
,114,62,1,《སྣར་》,མ།,,,,,,
,,63,2,《པེ་》《སྣར་》,ན།,,,,,,
,,64,3,《སྣར་》,mསྟེ།,,,,,,
,,65,4,《པེ་》《སྣར་》,བསད།,,,,,,
,,66,5,《པེ་》《སྣར་》,རྗེས།,,,,,,
